class_id,class_name,mesh
451,SystemPortal2X4,test_portal_4m.geo
691,HumanBaseFemale,avatar_hum_f_nude_caucasian_v01.geo
692,HumanBaseMale,avatar_hum_m_nude_caucasian_v01.geo
709,MolderLight,molder_pointlight.geo
832,SystemPortal2X2,test_portal_2m.geo
1400,ParticleLocationProxy,particle_proxy.geo
1912,GBB_FilterActorType,Molder_Filter_Actor_Type.geo
1928,GBB_LocalTeleporter,Molder_Local_Teleporter.geo
1929,GBB_BridgeTeleporter,Molder_Bridge_Teleporter.geo
1930,GBBType_Alarm,Molder_Alarm.geo
1997,GBB_FilterActorProperties,Molder_Filter_Actor_Prop.geo
1998,GBB_FilterCreatureProperties,Molder_Filter_Creature_Prop.geo
1999,GBB_FilterManifestationProperties,Molder_Filter_Manifestation_Prop.geo
2000,GBB_FilterOnOff,Molder_Filter_OnOff.geo
2001,GBB_PartyCounter,Molder_Party_Counter.geo
2002,GBB_TeamCounter,Molder_Team_Counter.geo
2003,GBB_PlayerCounter,Molder_Player_Counter.geo
2079,SystemDefaultExit,exit.geo
2441,GBB_GlobalTimer,Molder_Timer.geo
2442,GBB_PartyTimer,Molder_Timer.geo
2443,GBB_TeamTimer,Molder_Timer.geo
2444,GBB_PlayerTimer,Molder_Timer.geo
2454,GBB_WaypointTeleporter,Molder_Local_Teleporter.geo
2458,GBBType_WaypointTeleporter,Molder_Local_Teleporter.geo
2513,GBB_PatrolPoint_Anchor,Molder_Anchor.geo
2624,TerraTunnel7Offset21R,terra_foreas_cavern_offset8_24m_r_v01.geo
2625,TerraTunnelTurn21,terra_foreas_cavern_turn_24m_v01.geo
2626,TerraTunnelSplit21,terra_foreas_cavern_split16_24m_v01.geo
2627,TerraTunnelTee14,terra_foreas_cavern_tee_16m_v01.geo
2628,TerraForeasCavernEntrance24mv01,terra_foreas_cavern_entrance_24m_v01.geo
2629,TerraTunnel14Offset21R,terra_foreas_cavern_offset16_24m_r_v01.geo
2630,TerraTunnel45Split21,terra_foreas_cavern_split16_8_24m_v01.geo
2631,TerraTunnelStraight21,terra_foreas_cavern_straight_24m_v01.geo
2632,TerraTunnelStraight7,terra_foreas_cavern_straight_8m_v01.geo
2805,TerraTunnelTeeDown14,terra_foreas_cavern_tee_16m_v02.geo
2806,TerraTunnelTeeUp14,terra_foreas_cavern_tee_16m_v03.geo
2807,TerraTunnelEnd,terra_foreas_cavern_endcap_v01.geo
2826,TerraTunnel7Offset21L,terra_foreas_cavern_offset8_24m_l_v01.geo
2827,TerraTunnel14Offset21L,terra_foreas_cavern_offset16_24m_l_v01.geo
2828,TerraTunnelStraight21Ramp14,terra_foreas_cavern_ramp16_24m_v01.geo
2829,TerraTunnelStraight21Ramp7,terra_foreas_cavern_ramp8_24m_v01.geo
2831,TerraTunnelTurn21Ramp7R,terra_foreas_cavern_rampright8_24m_v01.geo
2832,TerraTunnelTurn21Ramp7L,terra_foreas_cavern_rampleft8_24m_v01.geo
2834,TerraTunnelStraightOffset14,terra_foreas_cavern_straight_stacked16_24m_v01.geo
2837,TerraTunnelRoomHalfV01,terra_tunnel_room_half_v01.geo
2838,TerraTunnelRoomHalfV02,terra_tunnel_room_half_v02.geo
2864,TerraTunnelRoomHalfV03,terra_tunnel_room_half_v03.geo
2865,TerraTunnelRoomEnd,terra_tunnel_room_end.geo
2908,TerraTunnelRoomEndV02,terra_tunnel_room_end_v02.geo
2913,TerraTunnelRoomTurnLeft,terra_tunnel_room_half_turn_l.geo
2914,TerraTunnelRoomTurnRight,terra_tunnel_room_half_turn_r.geo
3147,Ammo_Cartridge_1_Standard_Grade,ammo_bullets_v01.geo
3181,Ammo_Rocket_1_Standard_Grade,ammo_rockets_v01.geo
3301,Ammo_Canister_1_Standard_Grade,ammo_gas_v01.geo
3324,TestLightingSkydome,test_light_skydome.geo
3542,TerraTunnelRoomV01,terra_foreas_cavern_room_v01.geo
3543,Sys_CharacterSelectionPod,prop_hum_bed_v01.geo
3544,ArchHumanBaseHeadquartersForeas,arch_hum_fort_headqtrs_v02.geo
3545,ArchHumanBaseShopWeapon,arch_hum_fort_shop_weapon_v02.geo
3546,ArchHumanBaseShopTavernSmall,arch_hum_fort_tavern_v02.geo
3548,ArchHumanBaseRadarV01,prop_hum_radar_v01.geo
3549,ArchHumanBaseWallStraight16,arch_hum_fort_wall_straight_16m_v02.geo
3550,ArchHumanBaseWallStraight8,arch_hum_fort_wall_straight_8m_v02.geo
3551,ArchHumanBaseGate,arch_hum_fort_wall_entrance_32m_v04.geo
3552,ArchHumanBaseWallCornerOut,arch_hum_fort_wall_corner_out_8m_v02.geo
3553,ArchHumanBaseWallCornerIn,arch_hum_fort_wall_corner_in_8m_v02.geo
3554,ArchHumanBaseHospital,arch_hum_fort_hospital_v02.geo
3558,ArchHumBaseButtressLarge,arch_hum_fort_buttress_v02.geo
3562,ArchHumOutpostGenerator,arch_hum_outpost_generator_v02.geo
3569,ArchHumBaseClothingStore,arch_hum_fort_shop_clothing_v02.geo
3570,ArchHumBaseBarracks,arch_hum_fort_barracks_v02.geo
3571,ArchHumBaseArmorShop,arch_hum_fort_shop_armor_v01.geo
3573,ArchHumBaseGarage,arch_hum_fort_garage_v02.geo
3576,ArchHumOutpostHospital,arch_hum_outpost_hospital_v02.geo
3577,ArchHumBasePrison,arch_hum_fort_prison_v02.geo
3578,ArchHumBaseKennel,arch_hum_fort_kennel_v02.geo
3579,ArchHumOutpostWaypoint,arch_hum_outpost_waypoint.geo
3584,SystemAvatarLookModeMaleNude,avatar_hum_m_nude_caucasian_v01.geo
3585,SystemAvatarLookModeFemaleNude,avatar_hum_f_nude_caucasian_v01.geo
3586,SystemAvatarLookModeFemaleStealth,npc_redshirt_f_electric_netgun_stealth_v01.geo
3590,TerraforeasPinholefalls,terra_foreas_pinholefalls.geo
3602,FloraForeasGenTree01V01,flora_foreas_gen_tree01_v01.geo
3603,TerraForeasGenRock02V03,terra_foreas_gen_rock02_v03.geo
3604,FloraForeasGenTree01V02,flora_foreas_gen_tree01_v02.geo
3605,FloraForeasGenTree01V03,flora_foreas_gen_tree01_v03.geo
3606,FloraForeasGenTree01V04,flora_foreas_gen_tree01_v04.geo
3607,TerraForeasGenRock02V02,terra_foreas_gen_rock02_v02.geo
3608,TerraForeasGenRock02V01,terra_foreas_gen_rock02_v01.geo
3609,TerraForeasGenRock01V03,terra_foreas_gen_rock01_v03.geo
3610,TerraForeasGenRock01V01,terra_foreas_gen_rock01_v01.geo
3611,TerraForeasRanjagorgeWallStraight16a,terra_foreas_ranjagorge_wall_straight_16_a.geo
3612,TerraForeasRanjagorgeWallStraight16b,terra_foreas_ranjagorge_wall_straight_16_b.geo
3613,TerraForeasRanjagorgeWallCurveInside,terra_foreas_ranjagorge_wall_curve_inside.geo
3614,FloraForeasGenPalm01V01,flora_foreas_gen_palm01_v01.geo
3628,FloraForeasGenPalm02V01,flora_foreas_gen_palm02_v01.geo
